trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
90,False,"{'a': 0.9, 'e': 0.8351196755739123}",20,0,-99.44277994582144,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
91,False,"{'a': 0.9, 'e': 0.8334494362227645}",20,0,-76.97442482913834,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
92,False,"{'a': 0.9, 'e': 0.8317825373503189}",25,13,-44.02319065592273,"{0: 7, 1: 1, 2: 3, 3: 1, 4: 0}",1
93,False,"{'a': 0.9, 'e': 0.8301189722756183}",25,0,-122.25482152336093,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
94,False,"{'a': 0.9, 'e': 0.828458734331067}",20,8,-59.861814245934504,"{0: 7, 1: 3, 2: 0, 3: 1, 4: 1}",1
95,False,"{'a': 0.9, 'e': 0.8268018168624048}",20,0,-127.3961160468699,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
96,False,"{'a': 0.9, 'e': 0.82514821322868}",25,0,-66.99151631562833,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
97,False,"{'a': 0.9, 'e': 0.8234979168022227}",20,6,-20.110584673157817,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
98,False,"{'a': 0.9, 'e': 0.8218509209686182}",30,0,-105.64357168559744,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
99,False,"{'a': 0.9, 'e': 0.820207219126681}",20,0,-134.32186751511978,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
100,False,"{'a': 0.9, 'e': 0.8185668046884277}",25,0,-46.72804428553842,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
101,False,"{'a': 0.9, 'e': 0.8169296710790508}",25,15,-8.982116643171851,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
102,False,"{'a': 0.9, 'e': 0.8152958117368927}",25,8,-55.21930020227225,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 1}",1
103,False,"{'a': 0.9, 'e': 0.8136652201134189}",30,0,-132.29552094881439,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
104,False,"{'a': 0.9, 'e': 0.8120378896731921}",25,0,-110.97345947739713,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
105,False,"{'a': 0.9, 'e': 0.8104138138938457}",20,0,-172.0284226148794,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
106,False,"{'a': 0.9, 'e': 0.808792986266058}",30,0,-137.92376465293142,"{0: 21, 1: 1, 2: 4, 3: 2, 4: 2}",0
107,False,"{'a': 0.9, 'e': 0.8071754002935259}",30,2,-159.65740378694187,"{0: 18, 1: 0, 2: 6, 3: 2, 4: 2}",1
108,False,"{'a': 0.9, 'e': 0.8055610494929388}",30,0,-212.13829035884012,"{0: 18, 1: 1, 2: 6, 3: 2, 4: 3}",0
109,False,"{'a': 0.9, 'e': 0.803949927393953}",25,11,-82.83474431872021,"{0: 8, 1: 1, 2: 3, 3: 1, 4: 1}",1
110,False,"{'a': 0.9, 'e': 0.8023420275391651}",25,0,-66.21344146292645,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
111,False,"{'a': 0.9, 'e': 0.8007373434840868}",20,0,-112.26999464464214,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
112,False,"{'a': 0.9, 'e': 0.7991358687971185}",20,0,-208.0067512489725,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 5}",0
113,False,"{'a': 0.9, 'e': 0.7975375970595243}",25,0,-45.61301997764341,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
114,False,"{'a': 0.9, 'e': 0.7959425218654053}",25,0,-66.9393906392165,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
115,False,"{'a': 0.9, 'e': 0.7943506368216744}",25,0,-65.00095068679339,"{0: 16, 1: 6, 2: 1, 3: 2, 4: 0}",0
116,False,"{'a': 0.9, 'e': 0.7927619355480311}",25,0,-168.41179908027652,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 4}",0
117,False,"{'a': 0.9, 'e': 0.791176411676935}",20,0,-174.04897331330403,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 2}",0
118,False,"{'a': 0.9, 'e': 0.7895940588535811}",20,0,-69.28797609068712,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
119,False,"{'a': 0.9, 'e': 0.788014870735874}",30,0,-144.13809497111183,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 3}",0
120,False,"{'a': 0.9, 'e': 0.7864388409944022}",25,0,-86.20623483206093,"{0: 14, 1: 7, 2: 3, 3: 0, 4: 1}",0
121,False,"{'a': 0.9, 'e': 0.7848659633124134}",25,0,-79.48585167305393,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
122,False,"{'a': 0.9, 'e': 0.7832962313857886}",20,0,-58.76801203278298,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
123,False,"{'a': 0.9, 'e': 0.7817296389230171}",20,0,-26.978091328683412,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
124,False,"{'a': 0.9, 'e': 0.780166179645171}",25,0,-102.4440919039093,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
125,False,"{'a': 0.9, 'e': 0.7786058472858807}",20,0,-70.12901724626651,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 1}",0
126,False,"{'a': 0.9, 'e': 0.7770486355913089}",25,5,-62.964529229970296,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",1
127,False,"{'a': 0.9, 'e': 0.7754945383201263}",20,0,-63.7259904739067,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
128,False,"{'a': 0.9, 'e': 0.773943549243486}",20,0,-41.181357847234636,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
129,False,"{'a': 0.9, 'e': 0.772395662144999}",30,0,-151.93396647136936,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
130,False,"{'a': 0.9, 'e': 0.770850870820709}",30,0,-154.48678811526446,"{0: 20, 1: 1, 2: 5, 3: 2, 4: 2}",1
131,False,"{'a': 0.9, 'e': 0.7693091690790677}",30,0,-101.89513479546781,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
